2005/07/01 00:01:08 YVR SA 0000  40 FEW 220 -BKN 20 154/23.7/14.0/1510G16/CU1CI1 7007 RMK CONTRAILS UNOFF
2005/07/01 01:02:20 YVR SA 0100  40 FEW 100 FEW 220 -SCT 20 151/22.7/13.1/1410/CU1AC1CI1 RMK CONTRAILS / TR AC UNOFF
2005/07/02 14:01:04 YVR SA 1400  15 FEW M25 BKN 60 OVC 15 160/14.7/11.8/2817/SC1SC6SC3 RMK VIS N LWR 12 SM UNOFF
2005/07/02 15:01:20 YVR SA 1500  25 FEW M65 BKN 85 BKN 15 165/15.2/11.6/2816/SC1SC5AC2 5011  UNOFF
2005/07/02 16:01:45 YVR SA 1600  25 FEW 65 SCT 83 -BKN 15 167/16.6/11.5/2915/SC1SC3AC1  UNOFF
2005/07/02 17:01:00 YVR SA 1700  25 FEW 60 SCT 85 -BKN 15 172/16.4/11.3/2717/SC2SC2AC1  UNOFF
2005/07/02 18:01:08 YVR SA 1800  25 FEW 40 -SCT 85 -BKN 15 175/17.2/11.6/2713/SC1CU2AC2 2010  UNOFF
2005/07/02 19:02:44 YVR SA 1900  25 FEW 30 FEW M89 BKN 20 180/17.9/11.5/2613/CU1SC1AC4  UNOFF
2005/07/02 20:00:54 YVR SA 2000  30 FEW 40 FEW 90 -BKN 20 184/19.3/10.2/2511G22/SC1CU1AC2  UNOFF
2005/07/02 20:01:43 YVR SA 2000  30 FEW 40 FEW 90 -BKN 20 184/19.3/10.2/2511G22/CU1SC1AC2  UNOFF
2005/07/02 21:01:11 YVR SA 2100  30 FEW 40 FEW 120 -FEW 20 185/19.3/9.3/2212/CU1SC1AC1 1010 RMK TR CU UNOFF
2005/07/02 22:03:25 YVR SA 2200  40 FEW 220 -FEW 20 186/20.1/9.0/2010G17/SC1CI1  UNOFF
2005/07/02 23:00:56 YVR SA 2300  40 FEW 120 FEW 220 -FEW 20 187/20.0/8.6/1906/CU1AC1CI1 RMK TR CU UNOFF

2005/07/03 00:01:10 YVR SA 0000  100 FEW 220 -FEW 20 184/19.9/9.0/2108/AC2CI0 5001  UNOFF
2005/07/03 01:00:47 YVR SA 0100  40 FEW 100 -SCT 220 -SCT 30 184/20.3/9.1/2008/CU1AC1CI1 RMK TR CU UNOFF
2005/07/03 02:03:58 YVR SA 0200  40 FEW 90 FEW 220 -BKN 30 182/20.0/9.0/1606/SC1AC2CI1  UNOFF
2005/07/03 03:03:16 YVR SA 0300  45 FEW 90 FEW 220 -BKN 30 183/19.2/9.4/1606/SC1AC1CI1 5001  UNOFF
2005/07/03 04:03:16 YVR SA 0400  60 FEW 220 -BKN 30 185/17.7/9.1/1207/SC1CI1  UNOFF
2005/07/03 05:01:55 YVR SA 0500  60 FEW 220 -BKN 30 188/14.6/10.2/1009/SC1CI1  UNOFF
2005/07/03 06:03:00 YVR SA 0600  50 FEW 90 FEW 220 -BKN 20 188/14.6/10.6/1109/SC2AC1CI1 1005  UNOFF
2005/07/03 07:04:39 YVR SA 0700  90 FEW 220 -SCT 20 188/14.0/10.5/0907/AC2CI1  UNOFF
2005/07/03 08:03:13 YVR SA 0800  70 SCT 20 187/13.5/9.5/1009/AC4  UNOFF
2005/07/03 09:03:21 YVR SA 0900  66 SCT 20 187/12.8/9.4/1009/AC4 6001  UNOFF
2005/07/03 10:02:53 YVR SA 1000  66 SCT 20 186/12.1/9.0/1106/AC4  UNOFF
2005/07/03 11:03:39 YVR SA 1100  75 FEW 240 -SCT 20 187/12.4/9.5/1007/AC3CI1  UNOFF
2005/07/03 12:03:35 YVR SA 1200  70 FEW 240 -SCT 20 188/11.8/8.9/1009/AC1CI1 5001  UNOFF
2005/07/03 13:01:48 YVR SA 1300  70 FEW 240 -SCT 20 189/12.1/9.1/0907/AC1CI1  UNOFF
2005/07/03 14:02:13 YVR SA 1400  70 FEW 240 -SCT 20 190/14.2/10.1/1007/AC1CI1  UNOFF
2005/07/03 15:02:35 YVR SA 1500  45 FEW 240 -SCT 30 191/15.4/10.2/1211/CF1CI2 2003  UNOFF
2005/07/03 16:02:07 YVR SA 1600  45 FEW 240 -SCT 30 192/16.9/10.0/1109/CU1CI1  UNOFF
2005/07/03 17:01:46 YVR SA 1700  45 FEW 80 FEW 240 -BKN 30 194/17.6/10.6/1208/CU1AC1CI3  UNOFF
2005/07/03 18:02:24 YVR SA 1800  45 FEW 120 FEW M240 BKN 30 193/19.0/11.5/1207/CU1AC1CI4 0002  UNOFF
2005/07/03 19:01:20 YVR SA 1900  45 FEW M150 BKN 240 BKN 20 191/19.3/11.1/1310/CU1AC5CI1  UNOFF
2005/07/03 20:01:07 YVR SA 2000  45 FEW 120 SCT M150 BKN 240 BKN 20 192/20.0/10.9/1210/CU1AC3AS2CI1  UNOFF
2005/07/03 21:04:35 YVR SA 2100  45 FEW 110 FEW 150 SCT M240 BKN 20 190/21.4/9.6/1809/CU1AC2AC1CI2 0003  UNOFF
2005/07/03 22:02:54 YVR SA 2200  45 FEW 100 FEW 150 SCT M240 BKN 30 186/21.4/9.5/1308/CU1AC2AC1CI2  UNOFF
2005/07/03 23:01:45 YVR SA 2300  50 FEW 100 SCT 150 SCT M240 BKN 30 185/22.6/10.4/1709/CU1AC3AC1CI2  UNOFF

2005/07/04 00:01:05 YVR SA 0000  50 FEW 100 SCT M140 BKN 240 BKN 30 181/22.3/9.0/1604/CU1AC3AC2CI1 7009  UNOFF
2005/07/04 01:02:31 YVR SA 0100  50 FEW M110 BKN 140 BKN 240 BKN 30 179/21.9/8.7/2108/CU1AC5AC1CI1  UNOFF
2005/07/04 02:01:01 YVR SA 0200  45 FEW M100 OVC 30 178/21.5/8.4/2106/SC1AC9  UNOFF
2005/07/04 03:02:47 YVR SA 0300  M100 OVC 30 179/20.9/8.4/1904/AC10 5002  UNOFF
2005/07/04 04:04:07 YVR SA 0400  M100 OVC 30 178/20.0/10.3/3303/AC10  UNOFF
2005/07/04 05:03:16 YVR SA 0500  E100 BKN 150 OVC 30 179/19.6/9.8/0000/AC6AC4  UNOFF
2005/07/04 06:00:54 YVR SA 0600  100 -BKN M140 OVC 30 181/18.6/10.3/1703/AC5AC5 5002  UNOFF
2005/07/04 07:03:36 YVR SA 0700  100 -SCT M140 BKN 30 184/18.3/9.7/0000/AC4AC4  UNOFF
2005/07/04 08:06:07 YVR SA 0800  100 SCT M140 BKN 30 184/18.2/9.7/1205/AC4AC4  UNOFF
2005/07/04 09:02:55 YVR SA 0900  M110 OVC 30 183/16.9/10.8/1105/AC10 0002  UNOFF
2005/07/04 10:30:17 YVR SA 1000  M100 OVC 30 183/16.7/11.2/1405/AC10  UNOFF
2005/07/04 11:01:43 YVR SA 1100  M100 OVC 30 184/15.9/11.2/0903/AC10  UNOFF
2005/07/04 12:03:35 YVR SA 1200  M93 OVC 30 187/15.2/11.6/1007/AC10 5004  UNOFF
2005/07/04 13:03:07 YVR SA 1300  45 FEW M93 OVC 30 189/15.4/10.9/1107/SF1AC9  UNOFF
2005/07/04 14:02:48 YVR SA 1400  50 SCT M91 BKN 120 OVC 20 192/15.7/11.9/1007/SF4AC5AC1  UNOFF
2005/07/04 15:01:52 YVR SA 1500  50 SCT M90 BKN 130 OVC 20 197/16.6/12.0/1311/SF4AC5AC1 5010  UNOFF
2005/07/04 16:01:04 YVR SA 1600  50 FEW M90 BKN 140 OVC 20 201/17.1/11.5/1007/SF3AC6AC1  UNOFF
2005/07/04 17:02:07 YVR SA 1700  50 FEW M86 BKN 140 OVC 20 205/17.2/11.2/1209/SF3AC6AC1  UNOFF
2005/07/04 18:01:59 YVR SA 1800  45 FEW M83 BKN 140 OVC 20 205/18.6/11.6/1408/SC1AC8AC1 1008  UNOFF
2005/07/04 19:02:31 YVR SA 1900  45 FEW M82 BKN 120 BKN 160 BKN 20 204/20.8/12.0/1905/SC1AC5AC2AC1  UNOFF
2005/07/04 20:02:14 YVR SA 2000  45 FEW M80 BKN 120 BKN 160 BKN 20 204/20.0/11.6/1506/SC1AC5AC2AC1  UNOFF
2005/07/04 20:35:53 YVR SP 2034  45 FEW M75 BKN 120 OVC 15SHRA- /19.6//2203/SC1AC7AC1  UNOFF
2005/07/04 21:01:58 YVR SA 2100  45 FEW M78 BKN 90 BKN 120 OVC 15SHRA- 203/21.1/12.6/2305/SC1AC5AC2AC1 7002  UNOFF
2005/07/04 21:11:09 YVR SP 2109  45 FEW M80 BKN 120 BKN 220 OVC 15 /21.1//0000/SC1AC6AC2CI1  UNOFF
2005/07/04 22:01:06 YVR SA 2200  45 FEW M70 BKN 120 BKN 220 OVC 15 201/20.0/13.8/2607/SC1AC6AC2CI1  UNOFF
2005/07/04 22:47:20 YVR SP 2245  50 FEW M75 BKN 120 OVC 15SHRA- /19.1//3105/SC1AC7AC2  UNOFF
2005/07/04 23:01:02 YVR SA 2300  50 FEW M70 BKN 120 OVC 15SHRA- 199/19.0/13.1/2902/SC1AC7AC2  UNOFF
2005/07/04 23:20:32 YVR SP 2318  50 FEW M64 BKN 110 OVC 15 /19.5//2403/SC1SC7AC2  UNOFF

2005/07/05 00:01:48 YVR SA 0000  50 FEW M67 BKN 110 OVC 15 195/19.2/13.1/2703/SC1AC7AC2 7008  UNOFF
2005/07/05 01:02:46 YVR SA 0100  50 FEW M70 BKN 100 OVC 15 189/19.1/13.6/2805/SC1AC7AC2  UNOFF
2005/07/05 02:01:10 YVR SA 0200  M77 BKN 110 OVC 15 185/19.3/14.7/2705/AC6AC2  UNOFF
2005/07/05 03:04:29 YVR SA 0300  77 SCT 110 -BKN E220 OVC 15 180/20.0/14.0/3203/AC5AC0CI2 7015  UNOFF
2005/07/05 04:03:46 YVR SA 0400  77 SCT 100 -BKN E220 OVC 15 178/18.9/13.3/3204/AC4AC1CI2  UNOFF
2005/07/05 05:01:08 YVR SA 0500  70 SCT 100 SCT E220 OVC 15 180/18.3/14.1/2805/AC4AC1CI3  UNOFF
2005/07/05 06:03:42 YVR SA 0600  80 SCT E100 BKN 220 BKN 15 175/17.4/14.2/2708/AC5AC1CI1 0005  UNOFF
2005/07/05 07:03:56 YVR SA 0700  E80 BKN 15 173/17.3/14.6/3109/AC8  UNOFF
2005/07/05 08:02:13 YVR SA 0800  M96 BKN 130 OVC 15 169/17.2/14.2/3502/AC6AC1  UNOFF
2005/07/05 09:03:58 YVR SA 0900  M92 BKN 130 BKN 15 165/15.7/13.4/1005/AC7AC1 0010  UNOFF
2005/07/05 10:05:04 YVR SA 1000  M94 BKN 15 163/14.9/12.9/1005/AC7  UNOFF
2005/07/05 11:01:16 YVR SA 1100  M99 BKN 15 159/15.0/12.6/1104/AC9  UNOFF
2005/07/05 12:03:22 YVR SA 1200  M84 BKN 100 BKN 15 160/14.7/12.3/1006/AC7AC1 5005  UNOFF
2005/07/05 13:03:00 YVR SA 1300  M82 OVC 15 158/15.4/12.9/1108/AC9  UNOFF
2005/07/05 14:00:59 YVR SA 1400  M85 BKN 150 BKN 15 157/16.2/12.7/1009/AC7AC2  UNOFF
2005/07/05 15:02:19 YVR SA 1500  M87 BKN 150 BKN 15 156/16.5/12.4/1110/AC7AC2 7004  UNOFF
2005/07/05 16:00:54 YVR SA 1600  30 FEW M85 BKN 150 OVC 15 156/17.3/12.7/1111/SF1AC7AC1  UNOFF
2005/07/05 17:01:04 YVR SA 1700  30 FEW M86 BKN 150 BKN 220 OVC 15 155/18.5/13.1/1110/SF1AC6AC1CS2  UNOFF
2005/07/05 18:02:20 YVR SA 1800  80 SCT M120 BKN 150 BKN 220 OVC 15 147/18.9/12.8/1114/AC4AC3AC1CS2 0009  UNOFF
2005/07/05 18:51:30 YVR SP 1848  50 FEW M80 BKN 100 OVC 12SHRA- /18.9//1212/SF1AC6AC3  UNOFF
2005/07/05 19:00:45 YVR SA 1900  50 FEW M81 BKN 100 BKN 150 OVC 12SHRA- 143/18.9/13.7/1112/SF1AC5AC3AC1  UNOFF
2005/07/05 20:00:55 YVR SA 2000  50 SCT M63 BKN 80 OVC 6RA- 148/18.4/14.2/1707/SC4SC4AC2  UNOFF
2005/07/05 21:02:45 YVR SA 2100  M43 BKN 60 OVC 5RA 148/17.1/14.0/1405/SC6SC4 5001  UNOFF
2005/07/05 22:00:55 YVR SA 2200  M41 BKN 50 OVC 5RA- 144/16.8/14.2/1005/SC9SC1 RMK RERA UNOFF
2005/07/05 23:00:58 YVR SA 2300  M42 BKN 50 OVC 5RA- 142/16.9/14.7/0809/SC9SC1  UNOFF

2005/07/06 00:01:10 YVR SA 0000  11 FEW M38 BKN 50 OVC 5RA- 134/17.2/14.9/0708/SF1SC8SC1 0014  UNOFF
2005/07/06 00:44:20 YVR SP 0041  M11 BKN 37 BKN 50 OVC 5RA- /16.7//0909/SF6SC3SC1  UNOFF
2005/07/06 01:00:52 YVR SA 0100  M12 BKN 38 BKN 50 OVC 5RA- 125/16.5/14.9/0812/SF6SC3SC1  UNOFF
2005/07/06 01:08:56 YVR SP 0107  12 SCT M41 BKN 60 OVC 5RA- /16.4//0908/SF4SC4SC2  UNOFF
2005/07/06 02:03:04 YVR SA 0200  12 FEW 45 SCT M70 OVC 7RA- 110/16.3/14.9/0912/SF3SC2AC5  UNOFF
2005/07/06 02:20:54 YVR SP 0218  12 FEW M51 BKN 70 OVC 10RA- ///0709/SF2SC5AC3  UNOFF
2005/07/06 03:05:45 YVR SA 0300  29 SCT M63 BKN 72 OVC 10 101/16.6/15.0/0809/SC5SC3AC2 0033  UNOFF
2005/07/06 03:20:37 YVR SP 0317  11 FEW M20 BKN 61 OVC 3RA-FG /16.6//1008/SF2SC6SC2  UNOFF
2005/07/06 03:45:16 YVR SP 0343  M19 BKN 60 OVC 10 /16.6//1006/SC7SC3  UNOFF
2005/07/06 04:02:47 YVR SA 0400  M18 BKN 55 OVC 10SHRA- 098/16.6/14.8/1107/SC7SC3  UNOFF
2005/07/06 04:22:02 YVR SP 0421  M18 OVC 21/2SHRA-FG /16.4//1305/SC10  UNOFF
2005/07/06 05:03:28 YVR SA 0500  10 SCT M15 BKN 62 OVC 3RA-FG 094/16.2/15.1/0905/SC4SC4SC2 RMK /R10/ RERA UNOFF
2005/07/06 05:21:24 YVR SP 0519  7 SCT M15 BKN 37 OVC 8RA- /16.4//1005/SC4SC3SC3  UNOFF
2005/07/06 06:01:00 YVR SA 0600  5 SCT M28 OVC 8RA- 097/16.4/15.1/1205/SC5SC5 5004 RMK VIS N 21/2 UNOFF
2005/07/06 07:02:39 YVR SA 0700  7 SCT M26 BKN 51 OVC 8RA- 092/16.4/15.0/1410/SC4SC5SC1  UNOFF
2005/07/06 07:53:48 YVR SP 0751  7 FEW 25 SCT M86 OVC 10 /16.3//1007/SC3SC2AC5  UNOFF
2005/07/06 08:05:13 YVR SA 0800  5 SCT M24 BKN 92 OVC 10 086/16.2/15.0/1007/SC5SC4AC1  UNOFF
2005/07/06 09:04:49 YVR SA 0900  5 FEW 11 SCT M75 OVC 10 089/16.4/15.1/1207/SC3SC2AC5 5008  UNOFF
2005/07/06 10:05:39 YVR SA 1000  5 FEW 20 SCT M75 OVC 10 091/15.8/14.6/1107/SC3SC2AC5 RMK VIS N 6 UNOFF
2005/07/06 11:01:49 YVR SA 1100  4 SCT M16 OVC 10 092/15.6/14.4/0910/SC5SC5  UNOFF
2005/07/06 12:05:32 YVR SA 1200  6 FEW 20 SCT M77 OVC 10 097/15.7/14.0/1407/SC3SC2AC5 5008  UNOFF
2005/07/06 13:02:32 YVR SA 1300  7 FEW M57 BKN 73 OVC 12 106/15.5/13.9/1304/SC2SC6AC2  UNOFF
2005/07/06 14:02:28 YVR SA 1400  7 FEW 55 FEW M120 BKN 20 111/15.8/13.9/1803/SF1SC2AC4  UNOFF
2005/07/06 14:03:53 YVR SA 1400  7 FEW 55 FEW M120 BKN 20 111/15.8/13.9/1803/SF1SC2AC4 RMK VIS LWR NE UNOFF
2005/07/06 15:02:03 YVR SA 1500  20 FEW 60 FEW 120 SCT 20 118/16.7/12.9/2512/CU1SC2AC2 2021  UNOFF
2005/07/06 16:01:45 YVR SA 1600  20 FEW 68 SCT 150 SCT 20 124/17.2/11.1/2305/TCU1AC3AC1  UNOFF
2005/07/06 17:01:42 YVR SA 1700  30 FEW 70 SCT 240 SCT 30 130/18.4/11.6/2410/CU1AC3CI1  UNOFF
2005/07/06 18:01:07 YVR SA 1800  40 FEW M90 BKN 240 BKN 30 136/18.7/11.3/2410/CU1AC5CI1 2018 RMK TCU ASOCTD N UNOFF
2005/07/06 19:09:56 YVR SA 1900  40 FEW M85 BKN 240 BKN 20 141/19.1/11.6/2210/CU1AC7CI1  UNOFF
2005/07/06 20:01:02 YVR SA 2000  45 FEW M80 BKN 240 BKN 20 146/18.7/10.8/2011/CU1AC7CI1 RMK TCU ASOCTD UNOFF
2005/07/06 21:02:52 YVR SA 2100  45 FEW M88 BKN 240 BKN 20 146/18.5/10.8/1707/CU1AC7CI1 1010  UNOFF
2005/07/06 22:01:14 YVR SA 2200  45 FEW M75 BKN 90 BKN 20 148/19.0/11.2/1706/CU1AC5AC3  UNOFF
2005/07/06 23:01:01 YVR SA 2300  40 FEW 60 SCT M80 BKN 240 BKN 30 148/19.8/11.2/1808/CU3SC1AC3CI1 RMK TCU UNOFF

2005/07/07 00:01:45 YVR SA 0000  40 FEW M60 BKN 80 BKN 240 BKN 30 151/19.3/8.8/2006/TCU2SC4AC1CI1 2005  UNOFF
2005/07/07 01:02:43 YVR SA 0100  40 FEW 60 SCT M75 BKN 240 BKN 20 151/18.2/11.5/1710/CU2SC2AC4CI1  UNOFF
2005/07/07 02:00:59 YVR SA 0200  40 FEW 60 FEW M70 BKN 90 BKN 20 153/17.8/11.5/1404/CU1SC2AC5AC1  UNOFF
2005/07/07 03:04:02 YVR SA 0300  40 FEW 70 -BKN 90 -BKN 220 -BKN 20 157/17.9/11.6/1906/SC1AC3AC1CC1 2006 RMK LENT / TR SC UNOFF
2005/07/07 04:01:17 YVR SA 0400  40 FEW M70 BKN 20 159/17.1/10.9/1505/SF1AC6  UNOFF
2005/07/07 05:01:15 YVR SA 0500  35 FEW M69 OVC 20 163/16.1/11.0/1406/SC1AC8  UNOFF
2005/07/07 06:01:12 YVR SA 0600  35 FEW M78 OVC 20 163/15.0/11.3/0904/SC1AC8 2006  UNOFF
2005/07/07 07:02:22 YVR SA 0700  70 -FEW 20 163/14.5/10.9/0902/AC1  UNOFF
2005/07/07 08:00:57 YVR SA 0800  70 -FEW 230 -SCT 15 166/12.6/10.1/1105/AC1CI1  UNOFF
2005/07/07 09:02:53 YVR SA 0900  70 FEW 230 -SCT 15 167/11.9/9.8/1008/AC1CI2 2004  UNOFF
2005/07/07 10:02:04 YVR SA 1000  70 FEW 230 FEW 15 166/11.7/9.7/0909/AC1CI1  UNOFF
2005/07/07 11:04:02 YVR SA 1100  70 FEW 230 FEW 15 169/11.6/9.6/0908/AC1CI1  UNOFF
2005/07/07 12:01:10 YVR SA 1200  150 FEW 230 FEW 15 172/12.1/9.5/1108/AC1CI1 5005  UNOFF
2005/07/07 13:05:15 YVR SA 1300  150 FEW 230 -SCT 20 174/12.5/9.9/0908/AC1CI1  UNOFF
2005/07/07 14:03:26 YVR SA 1400  60 FEW 150 SCT M240 OVC 20 177/13.3/10.4/1008/SC1AC3CI2  UNOFF
2005/07/07 15:03:33 YVR SA 1500  50 FEW 120 FEW 230 -SCT 20 175/14.8/10.9/1012/SC1AC1CI1 0003  UNOFF
2005/07/07 17:05:33 YVR SA 1700  20 FEW 40 FEW 120 SCT 230 -OVC 20 171/17.2/10.3/1208/CU2SC1AC1CI1  UNOFF
2005/07/07 18:05:56 YVR SA 1800  30 FEW 140 -BKN M230 OVC 20 167/18.5/9.9/1110/SC2AC3CI2 0008  UNOFF
2005/07/07 20:04:11 YVR SA 2000  35 FEW 140 SCT M200 OVC 20 162/19.7/9.4/1207/SC2AC2CS4  UNOFF
2005/07/07 21:04:38 YVR SA 2100  40 FEW 140 SCT M200 OVC 20 153/19.4/9.2/1506/SC2AC2CS5 0014  UNOFF
2005/07/07 22:04:06 YVR SA 2200  40 FEW 100 SCT E180 OVC 20 147/19.1/9.5/1507/SC1AC3AS6  UNOFF
2005/07/07 23:03:06 YVR SA 2300  40 FEW 100 -SCT E200 OVC 20 140/20.0/9.8/2203/SC1AC3CS3  UNOFF

2005/07/08 01:04:00 YVR SA 0100  M160 BKN 210 OVC 20 124/19.5/10.4/2407/AC8CS2  UNOFF
2005/07/08 02:01:07 YVR SA 0200  M170 BKN 210 OVC 20 118/18.9/11.8/2404/AC6CS4  UNOFF
2005/07/08 04:01:06 YVR SA 0400  70 SCT M130 BKN 210 OVC 20 111/18.6/8.9/1202/AC4AC2CS4  UNOFF
2005/07/08 05:01:13 YVR SA 0500  M60 BKN 130 OVC 20 114/18.3/8.8/2106/SC8AC2  UNOFF
2005/07/08 06:01:04 YVR SA 0600  M49 OVC 20 111/17.5/10.1/1505/SC10 0001  UNOFF
2005/07/08 06:33:11 YVR SP 0631  48 SCT M80 OVC 15RA- /16.9//1106/SC5AC5  UNOFF
2005/07/08 07:01:03 YVR SA 0700  45 SCT M100 OVC 15RA- 106/15.8/12.0/1107/SC5AC5  UNOFF
2005/07/08 08:01:02 YVR SA 0800  45 FEW 65 SCT M76 OVC 15RA- 105/15.0/12.2/1206/SC3SC2AC5 RMK VIS N QUAD LWR 12 SM UNOFF
2005/07/08 09:02:00 YVR SA 0900  45 FEW M59 BKN 75 OVC 10RA- 108/14.0/12.0/1306/SC3SC5AC2 5003 RMK VIS N QUAD LWR 6 SM UNOFF
2005/07/08 10:01:01 YVR SA 1000  M60 OVC 8RA- 104/13.5/12.0/1011/SC10 RMK VIS N QUAD LWR 6 SM UNOFF
2005/07/08 11:01:24 YVR SA 1100  M59 OVC 10RA- 097/13.4/11.9/0812/SC10 RMK VIS N LWR UNOFF
2005/07/08 12:01:07 YVR SA 1200  M58 OVC 12RA- 093/13.5/11.9/0912/SC10 7015  UNOFF
2005/07/08 13:01:05 YVR SA 1300  25 FEW M58 OVC 10RA- 089/13.5/11.9/0913/SF1SC10  UNOFF
