2005/04/05 00:04:42 YVR SA 0000  44 SCT E80 BKN 15 193/11.5/-0.1/1805/SC5AC1 2005 RMK TCU EMBD UNOFF
2005/04/05 01:04:38 YVR SA 0100  45 FEW 80 FEW 15 198/10.8/0.8/1410/TCU2AC1 RMK SH DIST N UNOFF
2005/04/05 02:01:12 YVR SA 0200  45 FEW 80 -SCT 200 -BKN 15 200/9.8/2.9/1610/SC1AC1CI1 RMK SH DIST NE UNOFF
2005/04/05 03:01:24 YVR SA 0300  37 FEW 80 -SCT 220 -BKN 15 206/8.6/3.0/1410/SC1AC1CI0 5013 RMK SH DIST N UNOFF
2005/04/05 18:02:33 YVR SA 1800  M48 BKN 80 OVC 15 211/9.7/1.8/0921G27/SC8AC2 5006 RMK VIRGA N UNOFF
2005/04/05 18:43:30 YVR SP 1841  M45 BKN 80 OVC 10SHRA- ///1124/SC8AC2  UNOFF
2005/04/05 19:03:30 YVR SA 1900  M46 BKN 75 OVC 8SHRA- 212/9.3/2.8/1021G26/SC9AC1  UNOFF
2005/04/05 20:04:15 YVR SA 2000  23 SCT M39 OVC 7SHRA- 217/7.9/4.9/0719/SC4SC6  UNOFF
2005/04/05 21:02:45 YVR SA 2100  21 SCT M33 OVC 4RA- 219/7.3/5.8/0916G21/SC4SC6 1008  UNOFF
2005/04/05 22:01:52 YVR SA 2200  M24 BKN 37 OVC 4RA-FG 218/7.1/5.9/0913G18/SC7SC3  UNOFF
2005/04/05 23:02:16 YVR SA 2300  M25 BKN 40 OVC 5RA-FG 213/7.3/5.9/0613G18/SC6SC4  UNOFF

2005/04/06 00:02:40 YVR SA 0000  25 SCT M41 OVC 8RA- 209/7.0/5.9/0519G25/SC5SC5 0010  UNOFF
2005/04/06 01:04:31 YVR SA 0100  24 SCT M39 OVC 6RA-FG 207/7.2/5.9/0618G24/SC4SC6  UNOFF
2005/04/06 01:34:52 YVR SP 0132  24 SCT M43 OVC 7RA- ///0517/SC4SC6 RMK VIS NE HIER UNOFF
2005/04/06 02:01:44 YVR SA 0200  24 FEW M44 OVC 7RA- 204/7.2/6.0/0514/CF3SC7 RMK VIS NE HIER UNOFF
2005/04/06 03:01:07 YVR SA 0300  25 SCT M47 OVC 6RA- 203/7.3/6.3/0812/CF4SC6 7006  UNOFF
2005/04/06 03:13:11 YVR SP 0311  25 SCT M47 OVC 7RA- ///0811/CF5SC5  UNOFF
2005/04/06 04:01:22 YVR SA 0400  M27 BKN 48 OVC 8RA- 206/7.3/6.4/0911/SC6SC4  UNOFF
2005/04/06 05:01:05 YVR SA 0500  M23 BKN 48 OVC 10RA- 207/7.5/6.7/0913G19/SC8SC2  UNOFF
2005/04/06 06:01:08 YVR SA 0600  25 SCT M48 OVC 12RA- 202/7.4/6.7/0911/SC5SC5 0001  UNOFF
2005/04/06 07:04:08 YVR SA 0700  25 FEW M47 BKN 62 OVC 12RA- 199/6.9/6.5/1011G17/SC2SC6SC2  UNOFF
2005/04/06 08:01:13 YVR SA 0800  35 FEW M55 OVC 12RA- 192/6.6/6.3/0909/SC3SC7  UNOFF
2005/04/06 09:01:10 YVR SA 0900  M45 BKN 55 OVC 12RA- 190/6.7/6.4/1008/SC8SC2 6012  UNOFF
2005/04/06 10:02:40 YVR SA 1000  M47 BKN 65 OVC 12RA- 185/7.0/6.4/0708G15/SC8SC2  UNOFF
2005/04/06 11:01:00 YVR SA 1100  45 SCT M60 OVC 12RA- 180/8.1/6.9/0610/SC5SC5  UNOFF
2005/04/06 12:01:19 YVR SA 1200  45 FEW M68 BKN 85 OVC 15RA- 167/8.2/6.8/0613/SC2AC6AC2 0023  UNOFF
2005/04/06 13:01:39 YVR SA 1300  60 FEW M100 BKN 120 OVC 15 161/8.0/6.6/0907/SC2AC6AC2  UNOFF
2005/04/06 14:01:44 YVR SA 1400  M140 OVC 20 155/8.0/6.1/1006/AC10  UNOFF
2005/04/06 15:01:33 YVR SA 1500  M120 OVC 20 151/8.2/6.6/1103/AC9 7016  UNOFF
2005/04/06 16:02:22 YVR SA 1600  M90 BKN 120 OVC 20 154/8.7/6.6/1206/AC7AS3  UNOFF
2005/04/06 17:02:35 YVR SA 1700  M90 OVC 20 149/9.1/6.8/0909G18/AC10  UNOFF
2005/04/06 18:02:33 YVR SA 1800  M90 BKN 140 OVC 20 150/10.8/7.1/2404/AC6AS4 5001  UNOFF
2005/04/06 19:00:57 YVR SA 1900  M110 BKN 140 OVC 30 146/10.8/8.1/3305/AC8AS2  UNOFF
2005/04/06 20:01:58 YVR SA 2000  M110 OVC 20 139/11.1/8.4/0000/AC10  UNOFF
2005/04/06 21:02:37 YVR SA 2100  M120 OVC 20 132/12.3/9.0/3004/AC10 0018  UNOFF
2005/04/06 22:01:53 YVR SA 2200  M140 OVC 20 123/13.8/8.5/1205/AC10  UNOFF
2005/04/06 23:02:23 YVR SA 2300  M140 OVC 20 113/13.8/9.2/1006/AC10  UNOFF

2005/04/07 00:03:25 YVR SA 0000  M110 BKN 140 OVC 20 107/14.0/8.9/1405/AC8AS2 7025  UNOFF
2005/04/07 01:02:35 YVR SA 0100  M120 OVC 30 100/12.7/8.8/2202/AC10  UNOFF
2005/04/07 02:02:26 YVR SA 0200  40 FEW M120 OVC 20 096/10.1/8.3/0000/SC1AC9  UNOFF
2005/04/07 03:01:57 YVR SA 0300  40 FEW M130 OVC 20 092/10.4/8.1/0000/SC1AC9 6015  UNOFF
2005/04/07 04:01:49 YVR SA 0400  40 FEW M140 OVC 15 088/9.6/8.1/0802/SC2AC8  UNOFF
2005/04/07 05:01:28 YVR SA 0500  40 FEW 60 FEW M120 OVC 20 080/10.4/8.2/0000/SC2SC1AC7  UNOFF
2005/04/07 06:01:34 YVR SA 0600  40 FEW 60 SCT M90 BKN 120 OVC 15 074/11.3/7.9/3405/SC2SC2AC4AC2 7018  UNOFF
2005/04/07 06:14:06 YVR SP 0611  40 FEW M75 BKN 90 OVC 15RA- ///0305/SC3AC5AC2  UNOFF
2005/04/07 07:01:37 YVR SA 0700  40 FEW M70 BKN 100 OVC 15 072/11.2/7.9/0904/SC3AC4AC3  UNOFF
2005/04/07 08:01:36 YVR SA 0800  40 FEW M70 BKN 90 OVC 15 062/12.0/7.5/0307/SC3AC5AC2  UNOFF
2005/04/07 09:02:35 YVR SA 0900  40 FEW M75 OVC 15 049/12.5/6.3/2903/SC3AC7 0025  UNOFF
2005/04/07 10:01:13 YVR SA 1000  40 FEW M75 BKN 90 OVC 15 040/11.5/6.9/3209/SC3AC4AC3  UNOFF
2005/04/07 11:02:57 YVR SA 1100  40 FEW M70 BKN 90 OVC 15RA- 037/10.4/7.3/2904/SC3AC4AC3  UNOFF
2005/04/07 12:02:35 YVR SA 1200  40 FEW M70 BKN 100 OVC 15RA- 030/10.2/7.7/3602/SC2AC5AC3 7019  UNOFF
2005/04/07 13:01:04 YVR SA 1300  40 FEW M70 OVC 15RA- 030/9.6/8.0/2704/SC3AC7  UNOFF
2005/04/07 14:03:21 YVR SA 1400  M55 BKN 90 OVC 15 025/10.7/7.6/0307/SC8AC2  UNOFF
2005/04/07 14:18:30 YVR SP 1417  M55 BKN 90 OVC 15RA- ///0404/SC8AC2  UNOFF
2005/04/07 15:03:22 YVR SA 1500  M50 OVC 8RA- 027/10.3/8.4/0000/SC10 5003  UNOFF
2005/04/07 16:02:15 YVR SA 1600  M45 OVC 4RA-FG 033/9.7/9.0/1706/SC10  UNOFF
2005/04/07 17:04:04 YVR SA 1700  M24 BKN 42 OVC 4RA-FG 034/9.9/9.3/1404/SC7SC3  UNOFF
2005/04/07 17:49:59 YVR SP 1748  4 FEW 20 SCT M40 OVC 4RA- ///1103/SF2SC2SC6  UNOFF
2005/04/07 18:02:05 YVR SA 1800  4 FEW 20 SCT M35 OVC 4RA-FG 033/9.9/9.2/1303/SF1SC3SC6 0006  UNOFF
2005/04/07 19:02:21 YVR SA 1900  5 FEW 20 FEW M42 OVC 4RA-FG 035/10.1/9.5/1503/SF1SC2SC7  UNOFF
2005/04/07 20:01:38 YVR SA 2000  6 FEW 20 SCT M45 OVC 4RA-FG 037/10.5/9.6/1204/SF2SC2SC6  UNOFF
2005/04/07 21:02:01 YVR SA 2100  6 FEW 26 SCT M42 OVC 6RA- 044/10.7/9.3/1603/SF1SC3SC6 5011  UNOFF
2005/04/07 22:03:13 YVR SA 2200  6 -SCT 20 -SCT M46 OVC 6RA- 047/10.5/9.3/1507/SF2SC1SC7  UNOFF
2005/04/07 22:50:21 YVR SP 2249  10 FEW 42 SCT M70 BKN 210 OVC 20 ///1405/SC2SC3AC2CS2  UNOFF
2005/04/07 23:04:18 YVR SA 2300  7 SCT 42 SCT M70 BKN 120 BKN 220 OVC 20 050/11.3/10.0/1604/SF4SC1AC2AC1CS2  UNOFF
2005/04/07 23:34:11 YVR SP 2332  8 FEW M42 BKN 120 OVC 12RA- ///1804/SF2SC5AC3  UNOFF
2005/04/07 23:34:32 YVR SP 2332  8 FEW M42 BKN 120 OVC 12RA- ///1804/SF2SC5AC3 RMK TCU EMBD N UNOFF
2005/04/07 23:41:46 YVR SP 2340  8 FEW 20 FEW M38 BKN 120 BKN 12 ///1605/SF1SC2SC5AC1 RMK TCU EMBD N-NE UNOFF

2005/04/08 00:02:37 YVR SA 0000  12 FEW M38 BKN 120 OVC 12 054/11.9/8.9/1606/SF1SC7AC1 2010  UNOFF
2005/04/08 01:02:27 YVR SA 0100  25 FEW 42 FEW 120 -SCT 220 -BKN 15 053/11.9/6.4/2111/TCU1SC2AC1CI0  UNOFF
2005/04/08 02:01:21 YVR SA 0200  25 FEW 45 FEW 180 SCT 220 -BKN 15 058/10.6/5.0/2211G16/TCU1SC2AC1CI1  UNOFF
2005/04/08 03:01:38 YVR SA 0300  25 FEW 50 FEW 180 -BKN 220 -BKN 15 063/9.6/5.6/2311/SF1SC2AC2CI0 5009  UNOFF
2005/04/08 04:02:20 YVR SA 0400  30 FEW 50 FEW 180 SCT 220 -SCT 20 068/8.5/3.8/2515/SF1SC2AC1CI0  UNOFF
2005/04/08 05:01:49 YVR SA 0500  30 FEW 50 FEW M100 BKN 20 074/7.5/3.8/2611/SF1SC2AC3  UNOFF
2005/04/08 06:01:08 YVR SA 0600  30 FEW 50 FEW 100 -SCT 20 076/7.3/1.3/2508/SC1SC2AC1 1013  UNOFF
2005/04/08 07:02:09 YVR SA 0700  40 FEW 100 FEW 20 079/6.6/1.9/1704/SC1AC2  UNOFF
2005/04/08 08:02:25 YVR SA 0800  40 FEW 100 FEW 20 081/5.9/1.2/1705/SC2AC1  UNOFF
2005/04/08 09:03:45 YVR SA 0900  25 FEW 20 079/4.9/0.7/1304/SF2 0003  UNOFF
2005/04/08 10:02:46 YVR SA 1000  25 SCT 20 080/3.7/1.0/0305/SC4  UNOFF
2005/04/08 11:00:59 YVR SA 1100  25 FEW 70 SCT 20 079/2.4/0.8/0807/SF1AC4  UNOFF
2005/04/08 12:02:35 YVR SA 1200  70 FEW 20 077/2.1/0.6/0706/AC3 0002  UNOFF
2005/04/08 13:02:43 YVR SA 1300  40 FEW 70 FEW 240 -FEW 20 078/2.5/1.5/0808/SC1AC1CI0  UNOFF
2005/04/08 14:03:00 YVR SA 1400  40 FEW 70 FEW 240 -BKN 30 078/2.6/1.7/0806/SC1AC1CI1  UNOFF
2005/04/08 15:04:13 YVR SA 1500  40 FEW 240 -BKN 30 080/5.4/3.2/0905/SC1CI2 2003  UNOFF
2005/04/08 16:02:09 YVR SA 1600  40 FEW 240 -BKN 30 077/7.3/3.1/0905/SC1CI2  UNOFF
2005/04/08 17:04:02 YVR SA 1700  40 FEW 240 -SCT 30 073/8.2/2.0/1702/CU1CI1  UNOFF
2005/04/08 18:04:06 YVR SA 1800  32 SCT 240 -SCT 30 074/8.5/3.8/2807/CU4CI0 5006  UNOFF
2005/04/08 19:03:30 YVR SA 1900  40 FEW 240 -FEW 30 075/8.9/5.0/2910/CU2CI0  UNOFF
2005/04/08 20:02:40 YVR SA 2000  40 FEW 240 -FEW 30 075/9.1/3.2/2811/CU1CI1  UNOFF
2005/04/08 21:02:40 YVR SA 2100  40 FEW 240 -FEW 30 077/9.3/4.4/2816/CU1CI1 2003  UNOFF
2005/04/08 22:02:46 YVR SA 2200  40 FEW 240 -SCT 30 081/10.0/5.2/2819/CU1CI0  UNOFF
2005/04/08 23:02:50 YVR SA 2300  40 FEW 240 -FEW 30 083/9.9/3.4/2820G25/CU1CI0  UNOFF

2005/04/09 00:01:46 YVR SA 0000  50 FEW 240 -SCT 30 085/10.1/3.5/2820/SC1CI1 2008  UNOFF
2005/04/09 01:02:49 YVR SA 0100  50 FEW 220 -BKN 30 089/9.4/2.5/2818/SC1CI2  UNOFF
2005/04/09 02:01:12 YVR SA 0200  50 FEW 220 -SCT 30 092/9.1/2.9/2816/SC1CI2  UNOFF
2005/04/09 03:03:01 YVR SA 0300  40 FEW 220 -SCT 30 097/8.7/2.1/2714/SC1CI2 2012  UNOFF
2005/04/09 04:01:17 YVR SA 0400  40 FEW 220 -BKN 30 104/8.4/3.8/2816/SC1CI2  UNOFF
2005/04/09 05:01:17 YVR SA 0500  40 FEW 230 -SCT 30 112/7.7/4.8/2913/SC1CI2  UNOFF
2005/04/09 06:02:43 YVR SA 0600  40 FEW 230 -SCT 30 118/7.3/4.4/3406/SC1CI2 2021  UNOFF
2005/04/09 07:01:53 YVR SA 0700  40 FEW 240 -SCT 30 125/6.2/3.2/0804/SC1CI1  UNOFF
2005/04/09 08:02:37 YVR SA 0800  40 FEW 240 -BKN 30 136/6.2/2.9/2402/SC1CI2  UNOFF
2005/04/09 09:02:54 YVR SA 0900  40 FEW 240 -BKN 20 145/4.8/2.7/0000/SC1CI2 2027  UNOFF
2005/04/09 10:02:11 YVR SA 1000  40 FEW 240 -SCT 20 150/3.8/1.9/0000/SC1CI1  UNOFF
2005/04/09 11:03:05 YVR SA 1100  40 FEW 240 -FEW 20 159/2.5/0.7/0804/SC1CI1  UNOFF
2005/04/09 12:01:58 YVR SA 1200  40 FEW 240 FEW 20 163/3.7/2.2/0503/SC1CI1 2018  UNOFF
2005/04/09 13:01:22 YVR SA 1300  40 FEW 240 FEW 30 173/3.7/2.1/0000/SC1CI1  UNOFF
2005/04/09 14:02:38 YVR SA 1400  30 -SCT 240 -BKN 30 179/3.2/1.6/0902/SC1CI1  UNOFF
2005/04/09 15:03:40 YVR SA 1500  M24 BKN 20 189/4.9/2.9/0000/SC9 2026  UNOFF
2005/04/09 16:04:05 YVR SA 1600  24 -SCT 220 -BKN 20 194/7.4/3.5/0803/SC3CI1  UNOFF
2005/04/09 17:03:50 YVR SA 1700  25 -SCT 220 -BKN 20 200/9.5/3.8/0102/SC3CI1  UNOFF
2005/04/09 18:01:44 YVR SA 1800  20 FEW 200 -SCT 240 -BKN 20 207/9.7/4.7/1103/CF2CC1CI0 2018  UNOFF
2005/04/09 19:02:54 YVR SA 1900  35 SCT 220 -BKN 20 211/8.9/4.1/2605/CU4CI0  UNOFF
2005/04/09 20:04:02 YVR SA 2000  35 SCT 220 -BKN 20 212/10.5/5.6/2406/CU4CI0  UNOFF
2005/04/09 21:03:15 YVR SA 2100  40 FEW 220 -SCT 30 212/11.6/2.8/2305/CU3CI0 1005  UNOFF
2005/04/09 22:01:53 YVR SA 2200  40 FEW 220 -FEW 30 213/12.2/2.3/2205/CU2CI0  UNOFF
2005/04/09 23:03:09 YVR SA 2300  40 SCT 220 -SCT 20 213/13.1/4.0/2307/CU4CI0  UNOFF

2005/04/10 00:01:21 YVR SA 0000  40 FEW 90 FEW 220 -SCT 30 213/12.9/2.5/1907/CU1AC1CI0 1001  UNOFF
2005/04/10 01:03:15 YVR SA 0100  45 FEW 60 FEW 100 -SCT 220 -SCT 30 216/12.6/2.8/1906/CU1SC1AC0CI0  UNOFF
2005/04/10 02:02:11 YVR SA 0200  45 FEW 60 FEW 100 -SCT 30 219/11.9/1.9/1607/TCU1SC1AC1  UNOFF
2005/04/10 03:02:26 YVR SA 0300  40 FEW 60 FEW 100 -SCT 30 220/11.1/2.8/1307/SC1SC2AC1 2007  UNOFF
2005/04/10 04:02:54 YVR SA 0400  50 FEW 75 SCT 30 228/9.8/4.5/2112/SC2AC2  UNOFF
2005/04/10 05:01:51 YVR SA 0500  50 FEW M75 BKN 20 233/9.7/6.0/2507/SC3AC3  UNOFF
2005/04/10 06:02:13 YVR SA 0600  50 FEW M75 BKN 20 236/8.4/4.1/2706/SC2AC4 1016  UNOFF
2005/04/10 07:03:05 YVR SA 0700  40 FEW 75 SCT 20 238/8.0/4.3/1506/SC2AC2  UNOFF
2005/04/10 08:02:44 YVR SA 0800  50 FEW 80 SCT 20 243/5.3/3.0/1005/SC1AC3  UNOFF
2005/04/10 09:03:01 YVR SA 0900  80 FEW 110 FEW 20 244/4.4/2.9/1005/AC1AC2 2008  UNOFF
2005/04/10 10:02:31 YVR SA 1000  80 FEW 110 FEW 20 245/3.7/2.4/0805/AC1AC2  UNOFF
2005/04/10 11:02:36 YVR SA 1100  60 FEW 80 SCT 20 243/4.9/3.6/0909/SC2AC2  UNOFF
2005/04/10 12:02:13 YVR SA 1200  50 SCT M80 BKN 20 240/5.0/3.5/0910/SC4AC2 0004  UNOFF
2005/04/10 13:02:08 YVR SA 1300  M45 BKN 60 BKN 20 239/6.2/3.9/1008/SC6SC2  UNOFF
2005/04/10 14:01:45 YVR SA 1400  M60 BKN 20 237/6.5/4.0/0910/SC8  UNOFF
2005/04/10 15:02:28 YVR SA 1500  M52 OVC 20 235/7.1/4.4/0810/SC9 7005  UNOFF
2005/04/10 16:01:25 YVR SA 1600  M45 BKN 59 OVC 20 234/7.7/4.8/1008/SC7SC3  UNOFF
2005/04/10 17:01:49 YVR SA 1700  M51 BKN 83 OVC 20 232/8.6/4.1/1112/SC7AC3  UNOFF
2005/04/10 18:03:04 YVR SA 1800  M50 BKN 82 OVC 20 224/8.8/3.5/1015/SC6AC4 0011  UNOFF
2005/04/10 19:01:03 YVR SA 1900  30 -BKN M72 OVC 30 219/9.2/4.0/1212/SC5AC5  UNOFF
2005/04/10 20:02:11 YVR SA 2000  M33 BKN 70 OVC 30 210/9.8/3.6/1210/SC7AC3  UNOFF
2005/04/10 21:06:07 YVR SA 2100  M44 OVC 30 197/10.5/3.2/1113/SC10 0027  UNOFF
2005/04/10 22:06:33 YVR SA 2200  M48 OVC 20 188/10.9/3.7/1312/SC10  UNOFF
2005/04/10 23:02:30 YVR SA 2300  M42 OVC 20 175/10.7/4.4/1406/SC10 RMK SH NW-N UNOFF
2005/04/10 23:46:56 YVR SP 2345  25 FEW M41 OVC 10RA- ///1406/CF2SC8  UNOFF

2005/04/11 00:03:38 YVR SA 0000  23 FEW M42 OVC 8RA- 164/10.1/5.2/1307/CF3SC7 7033  UNOFF
2005/04/11 01:02:36 YVR SA 0100  25 FEW M41 OVC 8RA- 155/9.6/6.4/0706/SF2SC8  UNOFF
2005/04/11 02:02:49 YVR SA 0200  M34 OVC 8RA- 142/8.5/6.7/0712/SC10  UNOFF
2005/04/11 03:03:43 YVR SA 0300  M40 OVC 5RA-FG 129/8.3/6.8/0715/SC10 0035  UNOFF
2005/04/11 04:01:10 YVR SA 0400  30 SCT M41 OVC 5RA-FG 122/8.0/7.1/0915G20/SC4SC6  UNOFF
2005/04/11 05:02:13 YVR SA 0500  20 FEW M33 BKN 40 OVC 5RA-FG 115/7.7/7.2/0814G20/SC3SC4SC3  UNOFF
2005/04/11 06:03:37 YVR SA 0600  M24 BKN 42 OVC 5RA-FG 106/7.6/7.2/0914/SC6SC4 0023  UNOFF
2005/04/11 06:04:38 YVR SA 0600  M24 BKN 42 OVC 5RA-FG 106/7.6/7.2/0914/SC6SC4 0023 RMK /R10 UNOFF
Warning: at line 169: duplicated data: prev hr = 22 PST  current hr = 22 PST
2005/04/11 07:04:19 YVR SA 0700  M27 BKN 43 OVC 8RA- 094/7.5/6.7/0913/SC6SC4  UNOFF
2005/04/11 08:02:09 YVR SA 0800  M21 BKN 38 OVC 8RA- 083/7.1/6.4/0916G22/SC6SC4  UNOFF
2005/04/11 09:01:45 YVR SA 0900  M21 BKN 40 OVC 8RA- 079/7.1/6.4/1012/SC6SC4 6027  UNOFF
2005/04/11 10:02:19 YVR SA 1000  10 FEW 17 SCT M42 OVC 8RA- 073/7.1/6.7/1015/SF3SC2SC5  UNOFF
2005/04/11 10:17:49 YVR SP 1015  10 FEW M15 BKN 40 OVC 12 ///1112/SF3SC4SC3  UNOFF
2005/04/11 10:51:53 YVR SP 1050  15 SCT M44 OVC 10RA- ///1709/SC4SC6  UNOFF
2005/04/11 11:01:24 YVR SA 1100  15 FEW M45 OVC 10RA- 081/8.3/6.7/1708/SC3SC7 RMK PCPN VRY LGT UNOFF
2005/04/11 11:48:35 YVR SP 1146  22 FEW 45 SCT M90 OVC 12 ///2113G18/SC2SC2AC6  UNOFF
2005/04/11 12:01:04 YVR SA 1200  40 SCT M100 BKN 12 091/7.9/4.8/2217/SC4AC3 5012  UNOFF
2005/04/11 13:01:41 YVR SA 1300  36 SCT 90 SCT 15 105/7.4/3.8/2119G25/SC4AC1  UNOFF
2005/04/11 14:01:02 YVR SA 1400  35 -FEW 20 120/7.3/3.4/2216/SC1  UNOFF
2005/04/11 15:01:05 YVR SA 1500  35 -FEW 20 131/7.4/2.3/2114G20/SC1 2040  UNOFF
2005/04/11 16:02:22 YVR SA 1600  35 -FEW 20 141/8.4/2.2/2013/SC1  UNOFF
2005/04/11 17:01:04 YVR SA 1700  35 FEW 220 -FEW 20 149/9.2/1.0/1813/SC1CI1 RMK TCU ASOCT UNOFF
2005/04/11 18:00:53 YVR SA 1800  40 FEW 62 -BKN 85 -BKN 20 152/9.6/0.2/1911/CU1SC3AC1 1021  UNOFF
2005/04/11 19:01:51 YVR SA 1900  M36 BKN 85 BKN 20 158/9.1/1.6/1809/SC6AC1  UNOFF
2005/04/11 20:01:47 YVR SA 2000  30 -FEW 80 -SCT 20 158/9.9/2.8/2007/CU1AC1  UNOFF
2005/04/11 21:01:10 YVR SA 2100  35 FEW 85 -BKN M200 BKN 20 157/10.9/3.0/1911/CF2AC3CI1 0005  UNOFF
2005/04/11 22:01:47 YVR SA 2200  40 FEW 85 -SCT 220 -SCT 20 156/9.4/2.8/1809G16/SC1AC1CI1 RMK TCU ASOCT UNOFF
2005/04/11 23:01:02 YVR SA 2300  40 -FEW 70 -SCT 140 -BKN M200 BKN 20 154/9.6/1.2/1711/CU1AC2AC2CI1  UNOFF

2005/04/12 00:01:47 YVR SA 0000  M31 BKN 200 BKN 20 157/8.4/2.1/1816/SC6CI2 5000 RMK SHS DIST NE QUAD / SE QUAD UNOFF
2005/04/12 00:05:47 YVR SP 0004  M31 BKN 200 BKN 20SHRA- ///1916G22/SC7CI2  UNOFF
2005/04/12 00:40:45 YVR SP 0039  31 -SCT 130 -BKN 200 -BKN 15 ///1112/SC3AC1CI1 RMK SHS DIST NE - E QUAD UNOFF
2005/04/12 01:00:58 YVR SA 0100  40 FEW 120 -SCT 200 -BKN 15 157/7.7/3.8/0910/SC2AC1CI2 RMK SHS DIST NE QUAD / SW QUAD UNOFF
2005/04/12 02:02:27 YVR SA 0200  40 FEW 120 SCT M240 BKN 15 150/6.9/3.4/1007/SC3AC2CI3 RMK TCU ASOCT E NE UNOFF
2005/04/12 03:02:10 YVR SA 0300  21 FEW M35 BKN 120 BKN 240 OVC 15SHRA- 148/7.3/3.6/1713/SC2SC5AC2CI0 0009  UNOFF
2005/04/12 03:24:40 YVR SP 0323  35 FEW 90 SCT M210 OVC 15 ///1306/SC3AC2CI2  UNOFF
2005/04/12 04:02:54 YVR SA 0400  40 FEW 150 SCT M210 OVC 15 150/6.1/3.1/1107/SC2AC2CI4  UNOFF
2005/04/12 05:03:05 YVR SA 0500  40 FEW M120 BKN 210 OVC 15 152/5.4/4.0/1009/SC2AC4CI3  UNOFF
2005/04/12 06:05:16 YVR SA 0600  40 FEW 80 SCT M160 OVC 15 154/5.2/3.1/1115/SC2AC3AC4 2006  UNOFF
2005/04/12 06:45:40 YVR SP 0644  M13 BKN 34 OVC 15 ///0913/SC6SC4  UNOFF
2005/04/12 07:03:46 YVR SA 0700  13 SCT M45 BKN 15 155/4.1/2.8/0913/SC4SC5  UNOFF
2005/04/12 08:01:48 YVR SA 0800  45 FEW 100 SCT 15 154/2.9/1.9/0912/SC3AC2  UNOFF
2005/04/12 09:02:22 YVR SA 0900  26 FEW 47 SCT 15 149/2.3/1.6/0711/SC3SC2 0005  UNOFF
2005/04/12 10:02:16 YVR SA 1000  30 FEW 45 SCT 210 SCT 15 143/2.3/1.5/0908/SC2SC2CI1  UNOFF
2005/04/12 11:02:17 YVR SA 1100  45 SCT M200 BKN 15 134/2.2/1.2/0607/SC4CI2  UNOFF
