2004/07/01 22:03:15 YVR SA 2200  45 FEW 210 -SCT 30 169/23.2/12.0/1407/CU1CI2  UNOFF

2004/07/02 00:02:27 YVR SA 0000  45 FEW 220 -BKN 30 160/22.7/12.6/1207/CU1CI2 7012  UNOFF
2004/07/02 01:01:42 YVR SA 0100  45 FEW 220 -BKN 30 155/22.3/12.7/1311G17/CU1CI2  UNOFF
2004/07/02 02:02:59 YVR SA 0200  220 -BKN 20 154/21.3/12.4/1211/CI2  UNOFF
2004/07/02 03:00:51 YVR SA 0300  220 -BKN 20 152/20.4/12.2/1110/CI3 7008  UNOFF
2004/07/02 04:04:32 YVR SA 0400  140 FEW 220 -BKN 20 
2004/07/02 05:03:15 YVR SA 0500  150 FEW 220 -BKN 20 158/18.7/12.1/1114G19/AC3CI2  UNOFF
2004/07/02 06:02:28 YVR SA 0600  150 -SCT 220 -BKN 20 161/18.0/12.2/1115/AC4CI0 5009  UNOFF
2004/07/02 07:04:21 YVR SA 0700  M150 BKN 20 164/17.8/12.1/1112/AC6  UNOFF
2004/07/02 08:01:34 YVR SA 0800  150 -BKN 15 166/17.4/11.9/1013/AC4  UNOFF
2004/07/02 09:01:21 YVR SA 0900  M150 BKN 15 169/16.6/11.8/1012/AC6 2008  UNOFF
2004/07/02 10:00:56 YVR SA 1000  M120 BKN 15 171/16.9/12.0/1010/AC6  UNOFF
2004/07/02 11:01:02 YVR SA 1100  130 -BKN 15 171/16.6/12.0/1112/AC4  UNOFF
2004/07/02 12:01:54 YVR SA 1200  M110 BKN 220 BKN 20 173/16.2/11.8/1111G17/AC6CI1 2004  UNOFF
2004/07/02 13:02:33 YVR SA 1300  M110 BKN 220 BKN 20 177/15.7/11.7/1012/AC6CI1  UNOFF
2004/07/02 14:03:13 YVR SA 1400  40 FEW M92 BKN 20 181/16.0/11.9/1011/SC1AC7  UNOFF
2004/07/02 15:01:37 YVR SA 1500  40 FEW M95 OVC 20 180/16.3/12.3/1113/SF2AC7 0007  UNOFF
2004/07/02 15:51:22 YVR SP 1549  36 SCT M95 OVC 20SHRA- ///1212G17/SC4AC5  UNOFF
2004/07/02 16:01:54 YVR SA 1600  36 SCT M95 OVC 20SHRA- 184/15.4/12.4/1213/SC4AC6  UNOFF
2004/07/02 16:53:55 YVR SP 1652  35 FEW M90 OVC 15 ///1212/SC3AC7  UNOFF
2004/07/02 17:01:34 YVR SA 1700  35 FEW M90 OVC 15 185/15.4/12.7/1213/SF3AC7  UNOFF
2004/07/02 17:54:58 YVR SP 1754  35 FEW M50 BKN 90 OVC 15SHRA- ///1308/CF3SC4AC3  UNOFF
2004/07/02 18:01:02 YVR SA 1800  35 FEW M50 BKN 90 OVC 15SHRA- 187/16.0/13.1/1307/CF2SC5AC3 2007 RMK PCPN VRY LGT UNOFF
2004/07/02 18:23:03 YVR SP 1821  25 FEW M50 BKN 90 OVC 15 ///1507/CF2SC5AC3  UNOFF
2004/07/02 18:32:21 YVR SP 1831  17 FEW 25 SCT M50 BKN 90 OVC 15SHRA- ///1306/CF2SC3SC2AC3  UNOFF
2004/07/02 19:00:57 YVR SA 1900  18 FEW 25 SCT M50 OVC 15 189/16.4/13.1/1310/CF2SC3SC5  UNOFF
2004/07/02 19:27:53 YVR SP 1926  12 SCT M25 BKN 50 OVC 15SHRA- ///1209/SC4SC3SC3 RMK PCPN VRY LGT UNOFF
2004/07/02 20:01:47 YVR SA 2000  12 SCT M18 BKN 30 OVC 15SHRA- 192/15.8/13.2/1308/SC4SC3SC3 RMK PCPN VRY LGT UNOFF
2004/07/02 20:53:32 YVR SP 2052  M14 BKN 25 OVC 6SHRA-FG ///1208/SC7SC3  UNOFF
2004/07/02 21:02:29 YVR SA 2100  M14 BKN 20 OVC 3SHRA-FG 191/16.3/14.8/1306/SC6SC4 2004 RMK VIS N QUAD 4 SM UNOFF
2004/07/02 21:07:22 YVR SP 2106  M14 BKN 20 OVC 5SHRA-FG ///1407/SC6SC4 RMK PCPN VRY LGT UNOFF
2004/07/02 21:24:55 YVR SP 2123  M15 BKN 20 OVC 8SHRA- ///1306/SC6SC4 RMK PCPN VRY LGT UNOFF
2004/07/02 22:04:55 YVR SA 2200  M15 BKN 48 OVC 8 187/17.5/15.2/1009/SC6SC4  UNOFF
2004/07/02 23:04:18 YVR SA 2300  M15 BKN 42 OVC 8 187/18.1/15.5/1407/SC7SC3  UNOFF
2004/07/02 23:58:21 YVR SP 2353  M13 BKN 40 OVC 3SHRA-FG ///1205/SC6SC4  UNOFF

2004/07/03 00:02:48 YVR SA 0000  M13 BKN 40 OVC 3SHRA-FG 186/16.6/15.2/1505/SC6SC4 6005  UNOFF
2004/07/03 00:41:22 YVR SP 0039  9 SCT M20 BKN 57 OVC 6FG ///1306/SC4SC4SC2  UNOFF
2004/07/03 01:03:36 YVR SA 0100  9 SCT M24 BKN 48 OVC 6FG 181/16.9/15.6/1205/SC4SC4SC2  UNOFF
2004/07/03 01:19:01 YVR SP 0116  9 SCT M25 BKN 43 OVC 6SHRA-FG ///1306/SC4SC4SC2  UNOFF
2004/07/03 02:03:01 YVR SA 0200  9 FEW M25 BKN 44 BKN 110 OVC 6FG 178/17.1/15.9/1206/CF2SC4SC3AC1  UNOFF
2004/07/03 03:01:53 YVR SA 0300  9 FEW M44 BKN 80 BKN 8 175/17.2/15.4/1107/CF2SC5AC2 6011  UNOFF
2004/07/03 04:03:28 YVR SA 0400  11 FEW M44 BKN 80 BKN 12 174/16.7/15.2/0907/SC2SC5AC2  UNOFF
2004/07/03 05:03:32 YVR SA 0500  11 FEW 23 SCT M42 BKN 67 OVC 12 175/16.8/15.0/0906/SC1SC3SC3AC3  UNOFF
2004/07/03 06:01:44 YVR SA 0600  20 FEW M30 BKN 12 173/17.0/14.6/1005/SC2SC7 7002  UNOFF
2004/07/03 07:01:43 YVR SA 0700  20 FEW M35 BKN 12 172/17.1/15.1/0807/SC2SC70  UNOFF
2004/07/03 08:02:45 YVR SA 0800  12 FEW 20 FEW M40 BKN 10 171/17.0/15.3/0905/CF2SC1SC5  UNOFF
2004/07/03 09:03:16 YVR SA 0900  10 SCT 40 -BKN 10 170/16.3/15.2/0907/SF4SC1 7003  UNOFF
2004/07/03 10:02:36 YVR SA 1000  10 FEW M40 BKN 10 169/16.4/15.3/1204/SF3SC5  UNOFF
2004/07/03 11:01:00 YVR SA 1100  10 FEW M40 BKN 10 167/16.7/15.1/1305/SF2SC6  UNOFF
2004/07/03 12:01:42 YVR SA 1200  10 FEW M45 OVC 10 166/16.5/15.3/1703/SF3SC6 7004  UNOFF
2004/07/03 12:14:27 YVR SP 1212  5 FEW M45 OVC 10 ///1803/SF3SC7  UNOFF
2004/07/03 13:02:22 YVR SA 1300  8 FEW M50 BKN 10 166/15.9/14.1/1702/SF3SC5  UNOFF
2004/07/03 14:00:55 YVR SA 1400  M18 BKN 50 BKN 12 168/16.6/14.4/1803/SC6SC1  UNOFF
2004/07/03 15:00:47 YVR SA 1500  M21 BKN 12 174/17.2/14.4/2603/SC8 5008  UNOFF
2004/07/03 16:00:55 YVR SA 1600  18 FEW M21 BKN 15 176/18.6/14.9/2506/SC3SC5  UNOFF
2004/07/03 17:00:59 YVR SA 1700  18 FEW M21 OVC 15 177/17.4/15.0/2707/CF2SC7  UNOFF
2004/07/03 17:08:26 YVR SP 1706  10 FEW M14 BKN 18 OVC 15 ///2606/CF1SC5SC4  UNOFF
2004/07/03 18:02:53 YVR SA 1800  10 FEW M13 BKN 18 OVC 15 177/18.6/15.5/2807/CF1SC5SC3 0003  UNOFF
2004/07/03 18:27:31 YVR SP 1826  13 SCT M20 OVC 15 ///3006/SC5SC4  UNOFF
2004/07/03 19:00:48 YVR SA 1900  21 -BKN 15 178/20.4/15.6/2406/SC4  UNOFF
2004/07/03 20:00:58 YVR SA 2000  25 FEW 30 FEW 220 -SCT 15 177/20.7/15.7/2708/CF1SC1CI1  UNOFF
2004/07/03 21:00:56 YVR SA 2100  25 FEW 30 -FEW 15 175/21.7/15.6/2105/CF1SC1 0002 RMK TR CF UNOFF
2004/07/03 22:04:48 YVR SA 2200  20 FEW 38 SCT 15 170/23.4/16.5/2110/CF1SC3  UNOFF
2004/07/03 23:03:21 YVR SA 2300  40 FEW 20 169/22.6/14.1/2110G15/SC2  UNOFF

2004/07/04 00:01:06 YVR SA 0000  40 FEW 20 168/22.2/13.4/1708/SC2 6007  UNOFF
2004/07/04 01:02:27 YVR SA 0100  40 FEW 20 166/21.9/12.0/1807/SC2  UNOFF
2004/07/04 02:02:26 YVR SA 0200  40 FEW 20 166/21.3/10.2/1610/SC1  UNOFF
2004/07/04 03:04:05 YVR SA 0300  40 FEW 80 FEW 20 167/20.1/11.2/1310/SC1AC1 5001  UNOFF
2004/07/04 04:01:38 YVR SA 0400  40 FEW 80 FEW 20 168/18.3/11.5/1109/SC1AC1  UNOFF
2004/07/04 05:01:03 YVR SA 0500  60 SCT 20 171/17.1/10.8/1010/SC4  UNOFF
2004/07/04 06:03:16 YVR SA 0600  55 -BKN 20 175/16.8/10.0/1108/SC3 5008  UNOFF
2004/07/04 07:01:29 YVR SA 0700  55 -SCT 20 173/15.5/10.5/1009/SC1  UNOFF
2003/04/02 08:05:02 YVR SA 0800 M24 BKN 50 OVC 15 003/7/3/1215/954/SC7SC3 ?60XX?=
2003/04/02 09:04:01 YVR SA 0900 M19 BKN 50 OVC 15 007/6/3/1309/955/SC6SC4 2009 ?93XX?=
2003/04/02 10:02:03 YVR SA 1000 M19 OVC 15 011/5/3/1011/956/SC10 ?32XX?=
2003/04/02 11:05:04 YVR SA 1100 18 SCT M27 BKN 53 OVC 15 012/5/3/1010/957/CF3SC4SC2 ?899X?=
2003/04/02 12:03:00 YVR SA 1200 M18 BKN 54 OVC 15RW- 013/5/3/0811/957/SC7SC3 2006 ?60XX?=
2003/04/02 13:03:01 YVR SA 1300 M26 BKN 53 BKN 15RW- 014/4/3/0813/957/SC6SC3 ?2799?=
2003/04/02 14:05:02 YVR SA 1400 19 SCT M24 OVC 15RW- 019/4/2/0811/959/SF2SC7 ?239X?=
2003/04/02 15:08:01 YVR SA 1500 19 SCT E24 BKN 15 023/5/2/0812G18/960/CF2TCU7 PCPN DSNT W-N 3010 ?8199?=
2003/04/02 16:04:01 YVR SA 1600 18 SCT E30 BKN 200 BKN 15 024/6/2/0911G17/960/CF2TCU6CI1 PCPN DSNT W
2003/04/02 17:04:03 YVR SA 1700 20 SCT M36 BKN 200 BKN 30 026/7/1/0912/961/CF2CU5CI1 ?6088?=
2003/04/02 18:04:01 YVR SA 1800 M38 BKN 30 027/7/0/1009/961/SC9 TCU W 2004 ?2299?=
2003/04/02 21:09:00 YVR SA 2100 35 SCT M53 BKN 30 022/11/2/0905/960/TCU4SC4 PCPN N-E 7005 ?5088?=
2003/04/02 22:02:02 YVR SA 2200 35 SCT M53 BKN 120 BKN 30 021/9/1/0609/959/CU4SC4AC1 TCU SH N-NE ?6788?=
2003/04/02 23:02:01 YVR SA 2300 35 SCT M55 BKN 200 BKN 20 022/9/1/0509/960/CU4SC3CI ?0378?=

2003/04/03 00:06:01 YVR SA 0000 35 SCT 80 SCT 200 -BKN 20 021/9/0/1005/959/CU2AS2CI 7001 ?0146?=
2003/04/03 01:02:01 YVR SA 0100 50 SCT 200 -BKN 20 021/10/1/2203/959/SC4CI1 ?5857?=
2003/04/03 02:03:00 YVR SA 0200 50 SCT 160 -BKN 20 022/8/1/2504/960/SC2AS2 ?9946?=
2003/04/03 03:02:00 YVR SA 0300 50 SCT 210 -BKN 20 024/7/0/0000/960/SC2CI1 3003 ?4136?=
2003/04/03 04:03:01 YVR SA 0400 50 SCT 200 -BKN 20 028/6/2/0406/961/SC4CI ?4846?=
2003/04/03 04:50:01 YVR SP 0444 20 SCT M45 BKN 200 BKN 20T 0805 SF2CB4CI T SE MOVG NW=
2003/04/03 05:02:00 YVR SA 0500 20 SCT M40 BKN 200 BKN 20 036/7/2/1312/964/SF2CB4CI1 PRESRR ?6878?=
2003/04/03 05:03:00 YVR SA 0500 20 SCT M40 BKN 200 BKN 20TRW- 036/7/2/1312/964/SF2CB4CI1 PRESRR ?6878?=
2003/04/03 05:41:00 YVR SP 0538 15 SCT M35 BKN 200 BKN 15RW- 1807G15 SF3CB3CI2=
2003/04/03 05:44:00 YVR SP 0542 15 SCT M35 BKN 200 BKN 15 1804 SF2SC5CI2 CB EMBDD=
2003/04/03 06:03:00 YVR SA 0600 15 SCT M33 BKN 200 BKN 10 042/5/4/1204/966/SF1SC5CI2 3018 ?3588?=
2003/04/03 07:02:01 YVR SA 0700 M21 BKN 42 OVC 15 044/6/4/0910/966/SC7SC3 ?50XX?=
